"DateTime.Sampled","Site","Week","Sample","Salinity","Temperature","Real.Time.Temperature","Tidal_Depth_ft","pH_corrected_average","TAlk_measured_average","TAlk_measured_average_mol_kg","Arag","Calcite","DIC"
"6/6/22 8:35","EOS Center",1,1,29.95956,25,16.53773,1.7,7.637032907,2214.006665,0.002214007,1.36118432519717,2.09091479376518,2128.16579667741
"6/6/22 9:33","EOS Center",1,2,29.90913,25,16.80469,0.9,7.655564772,2206.245145,0.002206245,1.40850006265796,2.16395389352887,2114.50138260767
"6/6/22 10:28","EOS Center",1,3,29.29717,25,17.0092,0.4,7.664905351,2190.12247,0.002190122,1.40936135883112,2.16975948257988,2098.14615280944
"6/6/22 12:28","EOS Center",1,4,28.84573,25,17.41942,0.3,7.68547869,2205.08963,0.00220509,1.46852776168504,2.26446939823191,2107.61924824133
"6/6/22 13:30","EOS Center",1,5,28.64717,25,17.60636,0.8,7.689297462,2144.97857,0.002144979,1.43366923003052,2.21231861324022,2048.7062271591
"6/6/22 14:35","EOS Center",1,6,28.71791,25,17.87505,1.6,7.694670856,2185.166755,0.002185167,1.47939169134188,2.28228177096566,2085.64449907807
"6/23/22 11:28","EOS Center",2,7,31.44275,25,16.24282,3,7.596301596,2223.86995,0.00222387,1.28912709976586,1.97133890204796,2145.74930629818
"6/23/22 12:23","EOS Center",2,8,31.03625,25,17.31529,2.4,7.628204823,2273.27425,0.002273274,1.39945222787599,2.14254030761294,2184.77663594456
"6/23/22 13:23","EOS Center",2,9,29.93469,25,18.87275,1.9,7.693378908,2207.81522,0.002207815,1.52519767406656,2.34304626698255,2102.77797999305
"6/23/22 15:23","EOS Center",2,10,30.0362,25,18.36998,1.9,7.671824334,2231.160965,0.002231161,1.47708161210496,2.26837855249698,2132.61509200633
"6/23/22 16:23","EOS Center",2,11,30.30004,25,18.51112,2.6,7.705552554,2209.98167,0.002209982,1.57575411583308,2.4178681120531,2098.91635639056
"6/23/22 17:23","EOS Center",2,12,30.40289,25,18.00607,3.4,7.674172029,2219.405305,0.002219405,1.48607446764726,2.27952465309111,2118.79247968394
"7/7/22 9:16","EOS Center",3,13,29.80839,25,17.58946,2.6,7.657412244,2235.655595,0.002235656,1.43045705959381,2.19841813944397,2142.96553122318
"7/7/22 10:17","EOS Center",3,14,29.33098,25,18.1429,2,7.690655897,2182.99896,0.002182999,1.48274687299987,2.28247119543113,2082.26024352725
"7/7/22 11:17","EOS Center",3,15,29.52083,25,18.2107,1.5,7.675957418,2231.226895,0.002231227,1.47582322199693,2.27033232828099,2133.43888306327
"7/7/22 13:17","EOS Center",3,16,28.66608,25,19.04072,1.6,7.713330284,2180.343965,0.002180344,1.53258025111525,2.36478554493359,2074.73638752552
"7/7/22 14:17","EOS Center",3,17,28.31927,25,19.52141,2.2,7.744847715,2227.75336,0.002227753,1.66035876315471,2.56526038294994,2111.00155791765
"7/7/22 15:18","EOS Center",3,18,28.32333,25,19.93464,3,7.759103507,2173.313135,0.002173313,1.66701110557257,2.57549877798737,2053.27565694382
